House Size (sqft),Number of Bedrooms,Number of Bathrooms,House Age,Distance to City Center (miles),Number of Floors,Price
1748.3570765056163,1,2,14,17.206366445330577,1,255304.29448197776
1430.8678494144076,5,3,91,2.8206892441028035,2,251530.75563308466
1823.8442690503462,1,1,97,15.815818760774798,3,173281.6185632712
2261.514928204013,3,1,65,10.051165305097935,1,334259.6473814158
1382.923312638332,2,1,31,5.092456744760245,1,207595.3382901166
1382.9315215254096,4,1,86,12.310517371316354,2,229875.2007721558
2289.6064077536957,3,2,62,10.995298477867351,3,346585.1919781124
1883.7173645764544,1,1,85,6.998915614206027,3,323844.9292822739
1265.262807032524,4,3,50,10.349010424950094,1,242027.27178038328
1771.2800217929823,1,3,24,8.0734320156912,1,264546.9314173694
1268.291153593769,1,1,57,10.56758672625624,2,200000.96116321452
1267.1351232148716,2,1,62,13.310653372605234,2,190353.19599083922
1620.981135783017,4,3,61,17.93008408072676,3,263656.3181356039
543.359877671101,4,3,21,3.8109225058657543,3,153635.18175108224
637.5410837434836,2,2,57,20.665166873281333,1,73282.24630016959
1218.8562353795137,3,3,57,0.23956100238749123,3,230056.3364237016
993.5844398327881,1,2,85,9.241074524822084,2,151522.56725085335
1657.1236662976369,5,2,48,12.941586032422883,2,319334.43271470955
1045.9879622393946,1,2,51,11.404959338675162,1,148812.17510295234
793.8481493323543,1,2,41,6.886502400897031,2,113928.28429861597
2232.824384460777,3,2,69,8.959388748213623,2,305720.2630708095
1387.1118497567322,1,1,14,7.534995326705836,2,253022.85624937093
1533.764102343962,2,3,53,7.053176215278942,2,239793.4286695972
787.6259068932716,2,2,59,14.248010485105123,1,117644.05086540584
1227.8086377374086,4,3,96,11.785077429825236,1,229919.2855395007
1555.461294854933,5,3,7,6.535452023696729,3,302700.3365994563
924.5032112888485,1,2,52,14.497999377166254,2,120186.07770144517
1687.849009172836,1,1,59,11.536497604383047,3,270797.8157180342
1199.6806550405975,3,2,4,14.0643105941948,1,204838.2184189784
1354.1531251033616,2,1,67,13.14814420961806,1,198448.79244073614
1199.1466938853016,5,3,5,5.855024945389639,1,206198.73678258073
2426.139092254469,4,1,95,7.199094799015152,1,395140.9783849917
1493.2513876310331,2,1,93,13.73646802561631,1,206126.53345325528
971.1445355220499,4,1,46,13.051851327167324,1,128336.19007951033
1911.2724560515944,3,3,98,9.895492030179259,1,297201.7665796461
889.5781750144889,3,3,54,10.58663691654391,2,109812.93894085052
1604.4317975023778,1,1,39,16.388324478942124,3,273027.6247177323
520.1649380601123,5,1,51,7.04214305582085,1,86603.35859773993
835.9069755507848,4,2,15,12.73548690585019,2,187650.927835286
1598.4306179345617,2,1,12,8.98903673783053,2,236927.40825215014
1869.2332899977052,3,2,29,8.911593983863899,3,320066.3197513424
1585.6841405949854,1,1,18,15.49388425993595,1,203222.28743718594
1442.1758588058797,1,2,16,14.12708174494015,3,238214.51976895804
1349.4481522053557,4,3,62,14.067548180003193,1,210975.75163265193
760.7390048162863,3,1,18,16.527394035771646,2,130011.65357505386
1140.0778958026458,5,1,91,10.105019208163796,2,188802.93358564918
1269.6806145201062,3,1,57,13.409764856474819,2,164219.26673539318
2028.561113109458,4,1,54,8.44866621703272,2,336268.9717261639
1671.8091447842307,4,2,89,11.620831762442211,3,255764.9584794352
618.479922318633,3,1,89,9.349284728161576,1,108279.67475162404
1662.0419846973975,4,3,61,10.484979824963592,1,265319.14189166896
1307.4588597918419,3,3,22,12.975785127184569,3,222031.98053384048
1161.5389998470207,2,1,8,5.908896583832638,1,223671.58609684656
1805.838144420434,3,3,11,20.461936378427303,2,329284.5847963694
2015.4997612479756,3,1,0,4.96991309250149,1,348105.81711643504
1965.6400595580992,4,1,57,3.9290569360613397,2,319145.0931131245
1080.3912383886807,4,3,0,15.790554367500338,3,192984.35045617854
1345.3938120743928,1,1,33,13.95831346981468,1,167618.90516515798
1665.631715701782,1,3,95,13.120599085260775,3,222598.79551367462
1987.7725635611796,2,2,47,13.1417275463214,1,287310.2345714548
1260.412881077355,1,1,88,9.938766135765427,2,207069.45922997038
1407.1705116680914,3,2,0,5.513728142570843,3,251103.68704800156
946.8325129969859,4,3,15,10.379022790968632,1,152245.77128364856
901.8966879596646,1,2,60,6.6141914424394415,2,134889.42565157847
1906.2629111970991,1,2,63,14.875598667088756,3,275850.8078606087
2178.1200142854113,2,3,62,9.264713092489307,3,340301.2851548422
1463.994939209833,2,2,68,5.872514016037442,1,238448.03730110422
2001.7664489460121,3,2,21,8.393070791735033,1,323558.9359856124
1680.818012523817,4,3,92,12.064657271378122,1,275767.9371787629
1177.4401226974378,2,2,66,7.1813772359801264,2,166846.3968515011
1680.697802754207,1,3,75,5.888898022167843,1,283441.4631316998
2269.0182832329847,4,2,25,11.218436057459561,3,380465.4661369003
1482.0869804450242,4,3,15,11.224832855543614,3,273367.76076380716
2282.3218279070034,1,3,50,7.465284123144351,1,326727.46806349576
190.12744795512776,2,2,85,7.6448084719083855,1,32166.040074780314
1910.951252187612,1,2,56,11.160249686788182,3,295543.4895879715
1543.5235341190855,4,2,28,2.759578292513379,2,254214.0048563343
1350.4963247670662,5,1,77,2.9626811281172234,1,200367.25469107233
1545.8803882677512,5,1,91,6.40777889373782,1,257639.82092487635
506.21554269955357,3,1,68,8.932764241440763,3,77891.40645294086
1390.164056081244,1,3,46,11.554537827990023,1,206813.96213892117
1678.5562857558732,1,2,93,17.376781084747762,2,193309.15927592316
2238.947022370758,3,3,61,14.288298116010097,3,317755.3388359401
1240.8648908631762,3,1,68,9.200307350182864,1,191462.90818913223
1095.7531985534063,3,2,75,9.904918960486556,3,170057.46664290078
1249.1214782077318,4,3,15,4.987353176810956,1,190679.5249545343
1957.701058851037,1,2,89,9.90743432003805,1,299002.26654973405
1664.3755548298423,4,3,89,8.556706805399308,1,239689.77825000256
1235.1198981164807,3,2,47,11.613592801690448,2,249407.29815629986
1756.633716556678,1,1,84,5.863845282238385,2,239087.0323412534
1548.5387746740203,4,1,38,12.596732571205862,3,263718.5624212113
1984.3224952664445,4,2,99,17.66369456501289,1,320559.9653676846
1148.9734530613239,3,3,32,9.456199257715712,1,223422.29800034367
1336.1689267011159,1,1,93,12.008558610494706,2,213230.94990871564
1303.9459234339213,3,1,22,13.450719958555563,1,171628.92382037
768.2425259339407,1,1,9,7.993897640570818,2,98831.27365880451
1648.060138532288,5,2,68,11.120462409052084,1,274088.0414436196
1630.5276360899447,2,2,99,10.062962003908975,3,256548.17016362803
1502.5567283212304,2,3,33,10.48838049274416,1,234282.1993951035
1382.7064333124265,2,3,51,6.134951080722668,1,187076.18212115086
